ProbeName	Transcript_ID	Species	Amadid	Description
DETOX_121_PI422610884	AGAP001722-RA	Anopheles gambiae	27057	COEAE1A - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K4
DETOX_122_PI422610884	AGAP001722-RA	Anopheles gambiae	27057	COEAE1A - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K4
DETOX_123_PI422610884	AGAP001722-RA	Anopheles gambiae	27057	COEAE1A - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K4; alternative detox probe for AG_DETOX_P041
DETOX_124_PI422610884	AGAP005756-RA	Anopheles gambiae	27057	COEAE1D - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G23
DETOX_125_PI422610884	AGAP005756-RA	Anopheles gambiae	27057	COEAE1D - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G23
DETOX_126_PI422610884	AGAP005756-RA	Anopheles gambiae	27057	COEAE1D - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G23; alternative detox probe for AG_DETOX_P042
DETOX_127_PI422610884	AGAP006227-RA	Anopheles gambiae	27057	COEAE1F - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K5
DETOX_128_PI422610884	AGAP006227-RA	Anopheles gambiae	27057	COEAE1F - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K5
DETOX_129_PI422610884	AGAP006227-RA	Anopheles gambiae	27057	COEAE1F - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K5; alternative detox probe for AG_DETOX_P043
DETOX_13_PI422610884	AGAP006364-RB	Anopheles gambiae	27057	ABCB4B - ABC transporter
DETOX_130_PI422610884	AGAP006700-RA	Anopheles gambiae	27057	"COEAE1G - Carboxylesterase, incorrectly named as COEAE80 in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K13"
DETOX_131_PI422610884	AGAP006700-RA	Anopheles gambiae	27057	"COEAE1G - Carboxylesterase, incorrectly named as COEAE80 in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K13"
DETOX_132_PI422610884	AGAP006700-RA	Anopheles gambiae	27057	"COEAE1G - Carboxylesterase, incorrectly named as COEAE80 in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K13; alternative detox probe for AG_DETOX_P044"
DETOX_133_PI422610884	AGAP001723-RA	Anopheles gambiae	27057	"COEAE2A - Carboxylesterase, incorrectly named as COEAE1A in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K3"
DETOX_134_PI422610884	AGAP001723-RA	Anopheles gambiae	27057	"COEAE2A - Carboxylesterase, incorrectly named as COEAE1A in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K3"
DETOX_135_PI422610884	AGAP001723-RA	Anopheles gambiae	27057	"COEAE2A - Carboxylesterase, incorrectly named as COEAE1A in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K3; alternative detox probe for AG_DETOX_P045"
DETOX_136_PI422610884	AGAP005757-RA	Anopheles gambiae	27057	"COEAE2D - Carboxylesterase, incorrectly named as COEAE2E in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G4"
DETOX_137_PI422610884	AGAP005757-RA	Anopheles gambiae	27057	"COEAE2D - Carboxylesterase, incorrectly named as COEAE2E in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G4"
DETOX_138_PI422610884	AGAP005757-RA	Anopheles gambiae	27057	"COEAE2D - Carboxylesterase, incorrectly named as COEAE2E in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G4; alternative detox probe for AG_DETOX_P046"
DETOX_139_PI422610884	AGAP006228-RA	Anopheles gambiae	27057	COEAE2F - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K9
DETOX_14_PI422610884	AGAP006364-RB	Anopheles gambiae	27057	ABCB4B - ABC transporter
DETOX_140_PI422610884	AGAP006228-RA	Anopheles gambiae	27057	COEAE2F - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K9
DETOX_141_PI422610884	AGAP006228-RA	Anopheles gambiae	27057	COEAE2F - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K9; alternative detox probe for AG_DETOX_P047
DETOX_142_PI422610884	AGAP006723-RA	Anopheles gambiae	27057	COEAE2G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K17
DETOX_143_PI422610884	AGAP006723-RA	Anopheles gambiae	27057	COEAE2G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K17
DETOX_144_PI422610884	AGAP006723-RA	Anopheles gambiae	27057	COEAE2G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K17; alternative detox probe for AG_DETOX_P048
DETOX_145_PI422610884	AGAP005758-RA	Anopheles gambiae	27057	COEAE3D - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G8
DETOX_146_PI422610884	AGAP005758-RA	Anopheles gambiae	27057	COEAE3D - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G8
DETOX_147_PI422610884	AGAP005758-RA	Anopheles gambiae	27057	COEAE3D - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G8; alternative detox probe for AG_DETOX_P049
DETOX_148_PI422610884	AGAP006724-RA	Anopheles gambiae	27057	COEAE3G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K21
DETOX_149_PI422610884	AGAP006724-RA	Anopheles gambiae	27057	COEAE3G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K21
DETOX_15_PI422610884	AGAP006364-RB	Anopheles gambiae	27057	ABCB4B - ABC transporter ; alternative detox probe for AG_DETOX_P005
DETOX_150_PI422610884	AGAP006724-RA	Anopheles gambiae	27057	COEAE3G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K21; alternative detox probe for AG_DETOX_P050
DETOX_151_PI422610884	AGAP006725-RA	Anopheles gambiae	27057	COEAE4G - Carboxylesterase; incorrectly named as COEAE3H in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K2
DETOX_152_PI422610884	AGAP006725-RA	Anopheles gambiae	27057	COEAE4G - Carboxylesterase; incorrectly named as COEAE3H in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K2
DETOX_153_PI422610884	AGAP006725-RA	Anopheles gambiae	27057	COEAE4G - Carboxylesterase; incorrectly named as COEAE3H in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K2; alternative detox probe for AG_DETOX_P051
DETOX_154_PI422610884	AGAP006726-RA	Anopheles gambiae	27057	COEAE5G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K6
DETOX_155_PI422610884	AGAP006726-RA	Anopheles gambiae	27057	COEAE5G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K6
DETOX_156_PI422610884	AGAP006726-RA	Anopheles gambiae	27057	COEAE5G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K6; alternative detox probe for AG_DETOX_P052
DETOX_157_PI422610884	AGAP002391-RA	Anopheles gambiae	27057	COEAE5O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K8
DETOX_158_PI422610884	AGAP002391-RA	Anopheles gambiae	27057	COEAE5O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K8
DETOX_159_PI422610884	AGAP002391-RA	Anopheles gambiae	27057	COEAE5O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K8; alternative detox probe for AG_DETOX_P053
DETOX_16_PI422610884	AGAP006364-RC	Anopheles gambiae	27057	ABCB4C - ABC transporter
DETOX_160_PI422610884	AGAP006727-RA	Anopheles gambiae	27057	COEAE6G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K10
DETOX_161_PI422610884	AGAP006727-RA	Anopheles gambiae	27057	COEAE6G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K10
DETOX_162_PI422610884	AGAP006727-RA	Anopheles gambiae	27057	COEAE6G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K10; alternative detox probe for AG_DETOX_P054
DETOX_163_PI422610884	AGAP002863-RA	Anopheles gambiae	27057	COEAE6O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K12
DETOX_164_PI422610884	AGAP002863-RA	Anopheles gambiae	27057	COEAE6O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K12
DETOX_165_PI422610884	AGAP002863-RA	Anopheles gambiae	27057	COEAE6O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K12; alternative detox probe for AG_DETOX_P055
DETOX_166_PI422610884	AGAP006728-RA	Anopheles gambiae	27057	COEAE7G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K14
DETOX_167_PI422610884	AGAP006728-RA	Anopheles gambiae	27057	COEAE7G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K14
DETOX_168_PI422610884	AGAP006728-RA	Anopheles gambiae	27057	COEAE7G - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K14; alternative detox probe for AG_DETOX_P056
DETOX_169_PI422610884	AGAP011916-RA	Anopheles gambiae	27057	COEB6582 - Putative carboxylesterase
DETOX_17_PI422610884	AGAP006364-RC	Anopheles gambiae	27057	ABCB4C - ABC transporter
DETOX_170_PI422610884	AGAP011916-RA	Anopheles gambiae	27057	COEB6582 - Putative carboxylesterase
DETOX_171_PI422610884	AGAP011916-RA	Anopheles gambiae	27057	COEB6582 - Putative carboxylesterase ; alternative detox probe for AG_DETOX_P057
DETOX_172_PI422610884	AGAP005373-RA	Anopheles gambiae	27057	COEBE1C - Carboxylesterase; incorrectly named as COEBE1D in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G7
DETOX_173_PI422610884	AGAP005373-RA	Anopheles gambiae	27057	COEBE1C - Carboxylesterase; incorrectly named as COEBE1D in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G7
DETOX_174_PI422610884	AGAP005373-RA	Anopheles gambiae	27057	COEBE1C - Carboxylesterase; incorrectly named as COEBE1D in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G7; alternative detox probe for AG_DETOX_P058
DETOX_175_PI422610884	AGAP005371-RA	Anopheles gambiae	27057	COEBE2C - Carboxylesterase; incorrectly named as COEBE2D in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G11
DETOX_176_PI422610884	AGAP005371-RA	Anopheles gambiae	27057	COEBE2C - Carboxylesterase; incorrectly named as COEBE2D in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G11
DETOX_177_PI422610884	AGAP005371-RA	Anopheles gambiae	27057	COEBE2C - Carboxylesterase; incorrectly named as COEBE2D in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G11; alternative detox probe for AG_DETOX_P059
DETOX_178_PI422610884	AGAP001101-RA	Anopheles gambiae	27057	COEBE2O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K18
DETOX_179_PI422610884	AGAP001101-RA	Anopheles gambiae	27057	COEBE2O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K18
DETOX_18_PI422610884	AGAP006364-RC	Anopheles gambiae	27057	ABCB4C - ABC transporter ; alternative detox probe for AG_DETOX_P006
DETOX_180_PI422610884	AGAP001101-RA	Anopheles gambiae	27057	COEBE2O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K18; alternative detox probe for AG_DETOX_P060
DETOX_181_PI422610884	AGAP005372-RA	Anopheles gambiae	27057	"COEBE3C - Carboxylesterase, incorrectly named as COEBE3D in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G15"
DETOX_182_PI422610884	AGAP005372-RA	Anopheles gambiae	27057	"COEBE3C - Carboxylesterase, incorrectly named as COEBE3D in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G15"
DETOX_183_PI422610884	AGAP005372-RA	Anopheles gambiae	27057	"COEBE3C - Carboxylesterase, incorrectly named as COEBE3D in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G15; alternative detox probe for AG_DETOX_P061"
DETOX_184_PI422610884	AGAP005370-RA	Anopheles gambiae	27057	"COEBE4C - Carboxylesterase, incorrectly named as COEBE4D in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G19"
DETOX_185_PI422610884	AGAP005370-RA	Anopheles gambiae	27057	"COEBE4C - Carboxylesterase, incorrectly named as COEBE4D in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G19"
DETOX_186_PI422610884	AGAP005370-RA	Anopheles gambiae	27057	"COEBE4C - Carboxylesterase, incorrectly named as COEBE4D in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G19; alternative detox probe for AG_DETOX_P062"
DETOX_187_PI422610884	AGAP005833-RA	Anopheles gambiae	27057	"COEJHE1E - Carboxylesterase, incorrectly named as COEJHE1F in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G12"
DETOX_188_PI422610884	AGAP005833-RA	Anopheles gambiae	27057	"COEJHE1E - Carboxylesterase, incorrectly named as COEJHE1F in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G12"
DETOX_189_PI422610884	AGAP005833-RA	Anopheles gambiae	27057	"COEJHE1E - Carboxylesterase, incorrectly named as COEJHE1F in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G12; alternative detox probe for AG_DETOX_P063"
DETOX_19_PI422610884	AGAP006364-RD	Anopheles gambiae	27057	ABCB4D - ABC transporter
DETOX_190_PI422610884	AGAP005834-RA	Anopheles gambiae	27057	COEJHE2E - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G16
DETOX_191_PI422610884	AGAP005834-RA	Anopheles gambiae	27057	COEJHE2E - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G16
DETOX_192_PI422610884	AGAP005834-RA	Anopheles gambiae	27057	COEJHE2E - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G16; alternative detox probe for AG_DETOX_P064
DETOX_193_PI422610884	AGAP005835-RA	Anopheles gambiae	27057	"COEJHE3E - Carboxylesterase, incorrectly named as COEJHE3F in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G20"
DETOX_194_PI422610884	AGAP005835-RA	Anopheles gambiae	27057	"COEJHE3E - Carboxylesterase, incorrectly named as COEJHE3F in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G20"
DETOX_195_PI422610884	AGAP005835-RA	Anopheles gambiae	27057	"COEJHE3E - Carboxylesterase, incorrectly named as COEJHE3F in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G20; alternative detox probe for AG_DETOX_P065"
DETOX_196_PI422610884	AGAP005836-RA	Anopheles gambiae	27057	"COEJHE4E - Carboxylesterase, incorrectly named as COEJHE4F in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G24"
DETOX_197_PI422610884	AGAP005836-RA	Anopheles gambiae	27057	"COEJHE4E - Carboxylesterase, incorrectly named as COEJHE4F in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G24"
DETOX_198_PI422610884	AGAP005836-RA	Anopheles gambiae	27057	"COEJHE4E - Carboxylesterase, incorrectly named as COEJHE4F in Ensembl; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G24; alternative detox probe for AG_DETOX_P066"
DETOX_199_PI422610884	AGAP005837-RA	Anopheles gambiae	27057	COEJHE5E - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K1
DETOX_2_PI422610884	AGAP002278-RA	Anopheles gambiae	27057	ABCB1 - ABC transporter
DETOX_20_PI422610884	AGAP006364-RD	Anopheles gambiae	27057	ABCB4D - ABC transporter
DETOX_200_PI422610884	AGAP005837-RA	Anopheles gambiae	27057	COEJHE5E - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K1
DETOX_201_PI422610884	AGAP005837-RA	Anopheles gambiae	27057	COEJHE5E - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K1; alternative detox probe for AG_DETOX_P067
DETOX_202_PI422610884	AGAP011509-RA	Anopheles gambiae	27057	COEunkn - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K16
DETOX_203_PI422610884	AGAP011509-RA	Anopheles gambiae	27057	COEunkn - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K16
DETOX_204_PI422610884	AGAP011509-RA	Anopheles gambiae	27057	COEunkn - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K16; alternative detox probe for AG_DETOX_P068
DETOX_205_PI422610884	DQ465331	Anopheles gambiae	27057	COI - Cytochrome oxidase subunit I; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1L4
DETOX_206_PI422610884	DQ465331	Anopheles gambiae	27057	COI - Cytochrome oxidase subunit I; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1L4
DETOX_207_PI422610884	DQ465331	Anopheles gambiae	27057	COI - Cytochrome oxidase subunit I; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1L4; alternative detox probe for AG_DETOX_P069
DETOX_208_PI422610884	AGAP008446-RA	Anopheles gambiae	27057	CPLC8 - Cuticle protein; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-2D3
DETOX_209_PI422610884	AGAP008446-RA	Anopheles gambiae	27057	CPLC8 - Cuticle protein; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-2D3
DETOX_21_PI422610884	AGAP006364-RD	Anopheles gambiae	27057	ABCB4D - ABC transporter ; alternative detox probe for AG_DETOX_P007
DETOX_210_PI422610884	AGAP008446-RA	Anopheles gambiae	27057	CPLC8 - Cuticle protein; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-2D3; alternative detox probe for AG_DETOX_P070
DETOX_211_PI422610884	AGAP003065-RA	Anopheles gambiae	27057	CYP11179 - CYP304A1 in Drosophila
DETOX_212_PI422610884	AGAP003065-RA	Anopheles gambiae	27057	CYP11179 - CYP304A1 in Drosophila
DETOX_213_PI422610884	AGAP003065-RA	Anopheles gambiae	27057	CYP11179 - CYP304A1 in Drosophila ; alternative detox probe for AG_DETOX_P071
DETOX_214_PI422610884	AGAP008022-RA	Anopheles gambiae	27057	CYP12F1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1F8
DETOX_215_PI422610884	AGAP008022-RA	Anopheles gambiae	27057	CYP12F1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1F8
DETOX_216_PI422610884	AGAP008022-RA	Anopheles gambiae	27057	CYP12F1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1F8; alternative detox probe for AG_DETOX_P072
DETOX_217_PI422610884	AGAP008021-RA	Anopheles gambiae	27057	CYP12F2 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1F1
DETOX_218_PI422610884	AGAP008021-RA	Anopheles gambiae	27057	CYP12F2 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1F1
DETOX_219_PI422610884	AGAP008021-RA	Anopheles gambiae	27057	CYP12F2 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1F1; alternative detox probe for AG_DETOX_P073
DETOX_22_PI422610884	AGAP008436-RA	Anopheles gambiae	27057	ABCC11 - ABC transporter; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1O17
DETOX_220_PI422610884	AGAP008019-RA	Anopheles gambiae	27057	CYP12F3 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G1
DETOX_221_PI422610884	AGAP008019-RA	Anopheles gambiae	27057	CYP12F3 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G1
DETOX_222_PI422610884	AGAP008019-RA	Anopheles gambiae	27057	CYP12F3 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1G1; alternative detox probe for AG_DETOX_P074
DETOX_223_PI422610884	AGAP008018-RA	Anopheles gambiae	27057	CYP12F4 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1F5
DETOX_224_PI422610884	AGAP008018-RA	Anopheles gambiae	27057	CYP12F4 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1F5
DETOX_225_PI422610884	AGAP008018-RA	Anopheles gambiae	27057	CYP12F4 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1F5; alternative detox probe for AG_DETOX_P075
DETOX_226_PI422610884	AGAP005658-RA	Anopheles gambiae	27057	CYP15B1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1I3
DETOX_227_PI422610884	AGAP005658-RA	Anopheles gambiae	27057	CYP15B1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1I3
DETOX_228_PI422610884	AGAP005658-RA	Anopheles gambiae	27057	CYP15B1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1I3; alternative detox probe for AG_DETOX_P076
DETOX_229_PI422610884	AGAP006082-RA	Anopheles gambiae	27057	CYP301A1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1I11
DETOX_23_PI422610884	AGAP008436-RA	Anopheles gambiae	27057	ABCC11 - ABC transporter; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1O17
DETOX_230_PI422610884	AGAP006082-RA	Anopheles gambiae	27057	CYP301A1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1I11
DETOX_231_PI422610884	AGAP006082-RA	Anopheles gambiae	27057	CYP301A1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1I11; alternative detox probe for AG_DETOX_P077
DETOX_232_PI422610884	AGAP005992-RA	Anopheles gambiae	27057	CYP302A1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1I24
DETOX_233_PI422610884	AGAP005992-RA	Anopheles gambiae	27057	CYP302A1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1I24
DETOX_234_PI422610884	AGAP005992-RA	Anopheles gambiae	27057	CYP302A1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1I24; alternative detox probe for AG_DETOX_P078
DETOX_235_PI422610884	AGAP010077-RA	Anopheles gambiae	27057	CYP303A1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1M1
DETOX_236_PI422610884	AGAP010077-RA	Anopheles gambiae	27057	CYP303A1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1M1
DETOX_237_PI422610884	AGAP010077-RA	Anopheles gambiae	27057	CYP303A1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1M1; alternative detox probe for AG_DETOX_P079
DETOX_238_PI422610884	AGAP003066-RA	Anopheles gambiae	27057	CYP304B1 - Cytochrome P450 monooxygenase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1M5
